id,Lisboa,Result,Log,Order,comissao_coordenadora,grupo_contacto,Apoio_Contacto,Apoio_Coordenadora,Age,Internet,Previous.party,Female
661,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
662,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
663,1,23.59,3.1608228934,2,1,0,1,6,45,0,1,1
664,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
665,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
666,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
667,1,11.75,2.4638532406,2,0,1,7,1,47,1,0,1
668,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
669,1,34.81,3.5499047018,1,0,0,6,1,39,1,1,1
670,1,34.25,3.5336865647,1,0,0,0,4,39,1,0,1
671,NA,NA,NA,NA,0,0,6,2,NA,NA,NA,NA
672,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
673,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA
674,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
675,NA,NA,NA,NA,0,0,2,1,NA,NA,NA,NA
676,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
677,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
678,1,14.96,2.7053799725,1,0,0,0,0,39,1,0,1
679,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
680,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
