id,Lisboa,Result,Log,Order,comissao_coordenadora,grupo_contacto,Apoio_Contacto,Apoio_Coordenadora,Age,Internet,Previous.party,Female
354,1,76.21,4.3334926877,2,0,0,0,3,75,0,1,1
355,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
356,1,1.9,0.6418538862,2,0,0,2,0,63,1,1,1
357,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
358,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
359,NA,NA,NA,NA,0,0,1,3,NA,NA,NA,NA
360,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
361,1,13.94,2.6347624053,1,0,0,0,2,48,1,0,1
362,1,4.09,1.4085449701,1,0,0,1,2,47,1,0,1
363,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
364,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
365,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
366,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
367,1,3.36,1.211940974,1,0,0,0,1,56,0,1,1
368,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
369,NA,NA,NA,NA,0,0,1,3,NA,NA,NA,NA
370,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
371,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA
372,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
373,NA,NA,NA,NA,0,0,4,1,NA,NA,NA,NA
374,1,20.51,3.0209125721,1,0,0,0,1,33,0,0,1
375,NA,NA,NA,NA,0,0,0,4,NA,NA,NA,NA
376,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
377,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
378,NA,NA,NA,NA,0,0,2,2,NA,NA,NA,NA
379,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
380,1,0.6,-0.5108256238,2,0,0,0,0,37,0,0,1
381,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA
382,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
383,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
384,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
385,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
386,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
387,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
388,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
389,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
390,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
391,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
392,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
393,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
394,1,3.06,1.118414916,1,0,0,0,1,26,1,0,0
395,1,4.08,1.4060969884,1,0,0,0,1,23,1,0,0
396,NA,NA,NA,NA,0,0,4,0,NA,NA,NA,NA
397,1,4.53,1.5107219395,1,0,0,0,0,48,0,0,0
398,1,2.43,0.8878912574,2,0,0,1,1,64,1,0,0
399,1,6.3,1.8405496334,2,0,0,4,0,31,1,0,0
400,1,8.11,2.0930978681,1,0,0,1,1,45,0,1,0
401,NA,NA,NA,NA,0,0,0,2,NA,NA,NA,NA
402,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
403,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
404,NA,NA,NA,NA,0,0,0,2,NA,NA,NA,NA
405,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
406,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
407,NA,NA,NA,NA,0,0,4,3,NA,NA,NA,NA
408,1,14.49,2.6734587563,1,0,0,0,1,60,1,1,0
409,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
410,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
411,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
412,1,12.71,2.5423890852,1,0,0,1,2,51,1,0,0
413,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
414,1,9.44,2.2449559802,1,0,0,2,1,37,1,0,0
415,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
416,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
417,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
418,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
419,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
420,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
421,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
422,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
423,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
424,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
425,1,9.29,2.2289385528,2,0,0,0,2,35,1,1,0
426,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
427,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
428,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
429,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
430,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
431,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
432,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA
433,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
434,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
435,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
436,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
437,1,4.66,1.5390154481,1,0,0,0,1,53,1,0,0
438,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
439,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
440,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
441,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
442,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
443,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
444,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
445,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
446,1,6.47,1.8671761085,1,0,0,3,2,55,1,0,0
447,1,3.83,1.3428648032,2,0,0,0,0,50,1,0,0
448,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
449,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
450,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
451,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
452,1,53.36,3.9770614016,1,0,0,1,1,62,0,0,0
453,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
454,1,1.03,0.0295588022,1,0,0,1,0,54,1,0,0
455,1,12.88,2.5556757207,1,0,0,0,2,67,1,1,0
456,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
457,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
458,1,0.39,-0.9416085399,1,0,0,2,1,43,0,0,0
459,1,4.64,1.5347143662,1,0,0,0,1,67,0,1,0
460,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
461,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
462,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
463,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
464,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
465,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
466,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
467,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
468,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
469,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
470,1,99.99,4.605070181,1,1,0,1,5,61,0,0,0
471,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
472,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
473,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
474,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
475,NA,NA,NA,NA,0,0,0,2,NA,NA,NA,NA
476,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
477,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
478,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
479,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
480,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
481,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
482,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
483,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
484,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
485,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
486,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
487,NA,NA,NA,NA,0,0,0,3,NA,NA,NA,NA
488,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
489,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
490,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
